place;catu;sexe;secu1;year_acc;victim_age;catv;obsm;motor;catr;circ;surf;situ;vma;jour;mois;lum;dep;com;agg_;int;atm;col;lat;long;hour;nb_victim;nb_vehicules
4;2;1;1.0;2021;33.0;5.0;2.0;1.0;1;1.0;1.0;1.0;110.0;8;2;1;78;78402;1;1;0.0;4.0;48.96515;1.76456;14;12;3
1;1;1;8.0;2021;22.0;2.0;0.0;1.0;3;2.0;1.0;3.0;80.0;7;8;3;11;11085;1;1;0.0;7.0;43.178299;2.324858;5;1;1
1;1;1;1.0;2021;46.0;2.0;2.0;1.0;1;1.0;1.0;1.0;50.0;13;4;1;33;33550;1;1;0.0;2.0;44.783685;-0.58831;17;2;2
1;1;2;1.0;2021;25.0;2.0;0.0;1.0;4;1.0;1.0;1.0;30.0;9;12;5;75;75105;2;4;0.0;6.0;48.843185;2.364156;3;2;1
1;1;1;1.0;2021;27.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;13;12;1;971;97125;1;2;0.0;3.0;16.267548;-61.320003;11;5;2
1;1;1;2.0;2021;60.0;1.0;0.0;3.0;3;1.0;2.0;1.0;50.0;10;4;1;92;92064;2;1;1.0;7.0;48.840530186;2.2218641639;15;1;1
1;1;1;2.0;2021;20.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;24;12;2;13;13004;2;2;0.0;3.0;43.66;4.63;16;2;2
1;1;1;2.0;2021;34.0;1.0;0.0;1.0;3;2.0;2.0;1.0;50.0;5;12;5;93;93031;2;1;1.0;3.0;48.94621;2.33465;0;2;2
2;2;1;2.0;2021;38.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;9;10;1;75;75108;2;7;0.0;3.0;48.864095;2.320145;14;3;2
1;1;1;2.0;2021;23.0;1.0;2.0;1.0;1;3.0;1.0;1.0;50.0;28;3;1;6;6088;1;1;0.0;3.0;43.70052;7.188256;16;4;2
2;2;2;3.0;2021;8.0;2.0;2.0;1.0;3;2.0;1.0;1.0;50.0;5;2;1;974;97416;1;3;1.0;3.0;-21.29951;55.49073;16;3;2
5;2;1;1.0;2021;18.0;2.0;0.0;1.0;2;3.0;1.0;1.0;90.0;12;3;1;50;50203;1;1;0.0;6.0;49.59391;-1.59553;18;5;1
1;1;2;2.0;2021;38.0;1.0;0.0;1.0;4;2.0;1.0;1.0;80.0;30;5;1;46;46117;1;3;0.0;7.0;44.9477;1.863685;17;2;1
1;1;1;1.0;2021;18.0;2.0;2.0;1.0;4;2.0;2.0;1.0;30.0;7;12;1;93;93073;2;1;1.0;1.0;48.98697;2.54073;11;2;2
2;2;2;1.0;2021;24.0;2.0;2.0;1.0;1;3.0;1.0;1.0;110.0;10;10;2;91;91161;1;1;0.0;2.0;48.69582;2.31748;18;3;2
10;3;1;0.0;2021;52.0;2.0;1.0;1.0;4;2.0;1.0;4.0;50.0;20;10;5;42;42218;2;1;0.0;6.0;45.43328;4.41576;6;2;1
1;1;1;2.0;2021;36.0;1.0;2.0;1.0;3;3.0;1.0;1.0;90.0;16;11;1;91;91223;1;1;0.0;3.0;48.4392;2.17254;14;2;2
1;1;1;1.0;2021;49.0;4.0;0.0;1.0;1;3.0;1.0;1.0;130.0;4;8;1;89;89438;1;1;0.0;2.0;47.791485;3.66827;15;2;2
1;1;1;2.0;2021;62.0;1.0;0.0;1.0;4;2.0;1.0;3.0;70.0;5;9;3;33;33487;1;4;0.0;6.0;44.971829;-0.479587;21;1;1
1;1;1;8.0;2021;30.0;1.0;2.0;5.0;4;2.0;1.0;5.0;30.0;9;5;1;38;38185;2;2;0.0;3.0;45.1882323797;5.7162165642;18;2;2
1;1;1;2.0;2021;29.0;1.0;2.0;1.0;4;3.0;1.0;1.0;50.0;18;8;1;69;69383;2;1;0.0;2.0;45.76362;4.86263;12;2;2
1;1;1;1.0;2021;48.0;2.0;2.0;1.0;1;1.0;2.0;1.0;110.0;30;1;2;13;13081;1;1;1.0;4.0;43.49256;5.2401;17;3;3
1;1;1;1.0;2021;18.0;2.0;0.0;1.0;3;2.0;1.0;1.0;70.0;21;7;1;27;27554;1;1;0.0;7.0;49.09403;1.39572;16;1;1
4;2;2;1.0;2021;22.0;2.0;0.0;1.0;3;1.0;1.0;1.0;50.0;10;10;5;84;84007;2;9;0.0;3.0;43.93402;4.83137;3;4;1
1;1;2;8.0;2021;16.0;1.0;2.0;3.0;3;3.0;1.0;1.0;50.0;1;5;1;94;94028;2;1;0.0;3.0;48.7876;2.4507;18;2;2
1;1;1;2.0;2021;30.0;1.0;2.0;1.0;3;1.0;1.0;1.0;50.0;19;3;1;93;93010;2;1;0.0;3.0;48.9062807055;2.4839734111;13;2;2
1;1;1;1.0;2021;77.0;2.0;2.0;1.0;3;2.0;1.0;1.0;80.0;1;3;2;1;1301;1;1;1.0;1.0;46.245275;5.107452;17;2;2
1;1;1;2.0;2021;55.0;1.0;2.0;1.0;2;1.0;1.0;1.0;90.0;9;8;3;94;94074;1;1;0.0;4.0;48.7668528202;2.4541433386;20;3;3
10;3;1;0.0;2021;72.0;2.0;1.0;1.0;4;2.0;2.0;1.0;50.0;3;11;2;71;71306;2;1;1.0;6.0;46.678222;4.36624;18;2;1
1;1;2;2.0;2021;25.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;21;3;1;75;75112;2;1;0.0;2.0;48.8360723994;2.405157973;11;3;2
1;1;1;1.0;2021;22.0;2.0;9.0;1.0;1;2.0;1.0;1.0;130.0;15;11;3;60;60631;1;1;1.0;1.0;49.1658967625;2.5990379316;2;2;2
1;1;1;1.0;2021;30.0;2.0;2.0;1.0;3;2.0;2.0;1.0;80.0;3;10;2;58;58244;1;1;1.0;7.0;47.042562;3.862832;18;2;2
10;3;1;0.0;2021;22.0;2.0;1.0;1.0;4;2.0;1.0;1.0;50.0;10;3;1;63;63113;2;1;0.0;6.0;45.7813778118;3.0880955381;11;2;1
1;1;1;1.0;2021;31.0;2.0;0.0;1.0;4;1.0;2.0;1.0;30.0;12;12;2;93;93064;2;1;1.0;6.0;48.87835;2.49086;16;1;1
1;1;1;2.0;2021;71.0;1.0;2.0;5.0;3;2.0;1.0;1.0;50.0;11;9;1;44;44097;2;3;0.0;3.0;47.407691;-2.480813;11;2;2
10;3;1;0.0;2021;78.0;1.0;1.0;5.0;4;3.0;1.0;1.0;50.0;9;6;1;75;75114;2;1;0.0;6.0;48.832904;2.336474;13;2;1
1;1;1;2.0;2021;25.0;1.0;9.0;1.0;4;1.0;1.0;1.0;50.0;1;2;1;30;30189;2;2;0.0;6.0;43.82355;4.35501;13;2;2
1;1;1;1.0;2021;25.0;2.0;4.0;1.0;7;2.0;1.0;6.0;50.0;9;9;1;69;69259;2;2;0.0;3.0;45.71426613;4.8792208;11;2;2
2;2;1;1.0;2021;66.0;2.0;2.0;1.0;3;2.0;2.0;1.0;50.0;3;11;1;51;51504;2;1;1.0;1.0;48.9902;4.33835;9;3;2
10;3;1;8.0;2021;54.0;2.0;1.0;1.0;4;2.0;1.0;1.0;50.0;25;1;1;69;69266;2;7;0.0;6.0;45.7593025379;4.8906615973;15;2;1
1;1;1;2.0;2021;70.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;23;8;1;973;97302;2;1;0.0;2.0;4.9330239392;-52.332866192;10;2;2
1;1;1;2.0;2021;57.0;1.0;2.0;1.0;7;2.0;1.0;1.0;50.0;13;10;1;83;83120;2;3;0.0;3.0;43.382852;5.706609;11;2;2
1;1;1;2.0;2021;25.0;1.0;2.0;1.0;3;2.0;1.0;1.0;50.0;9;6;1;93;93001;2;1;0.0;3.0;48.903534;2.383183;14;2;2
1;1;1;2.0;2021;22.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;26;6;1;83;83069;2;1;0.0;3.0;43.119154;6.129827;21;2;2
10;3;2;0.0;2021;71.0;2.0;1.0;1.0;4;2.0;1.0;1.0;50.0;12;11;1;69;69266;2;1;0.0;6.0;45.77104;4.86396;10;2;1
1;1;1;1.0;2021;35.0;2.0;0.0;1.0;3;2.0;1.0;3.0;50.0;28;8;3;32;32118;2;1;0.0;6.0;43.533768;0.577195;22;1;1
1;1;1;2.0;2021;39.0;1.0;2.0;3.0;3;2.0;1.0;1.0;70.0;28;3;1;44;44158;1;1;0.0;6.0;47.261692;-1.761643;18;2;2
4;2;1;1.0;2021;24.0;2.0;0.0;1.0;3;2.0;1.0;1.0;50.0;17;11;5;93;93057;2;1;0.0;2.0;48.9038176357;2.5059125168;23;4;2
2;2;2;1.0;2021;29.0;2.0;2.0;1.0;2;2.0;1.0;1.0;50.0;8;10;3;34;34022;2;1;0.0;3.0;43.65503;4.001507;4;3;2
10;3;2;0.0;2021;53.0;2.0;1.0;2.0;3;2.0;1.0;1.0;50.0;15;11;1;74;74010;2;3;0.0;6.0;45.9193;6.1257;14;2;1
1;1;1;2.0;2021;14.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;20;10;1;73;73179;1;1;0.0;1.0;45.588016;5.842125;13;2;2
1;1;1;1.0;2021;49.0;2.0;2.0;1.0;1;3.0;1.0;1.0;130.0;8;11;2;79;79189;1;1;0.0;5.0;46.408274;-0.144539;7;5;5
1;1;2;1.0;2021;30.0;2.0;2.0;1.0;3;2.0;1.0;1.0;90.0;19;11;1;95;95149;1;1;0.0;3.0;49.133767;2.435253;16;3;2
1;1;1;2.0;2021;20.0;1.0;2.0;3.0;4;2.0;1.0;1.0;50.0;16;10;5;37;37261;2;1;0.0;6.0;47.4220156382;0.7050404325;20;3;2
1;1;1;2.0;2021;49.0;1.0;2.0;1.0;3;2.0;1.0;1.0;50.0;21;10;5;94;94017;2;1;1.0;3.0;48.81523;2.5072;7;2;2
1;1;1;2.0;2021;17.0;1.0;2.0;1.0;3;2.0;1.0;1.0;50.0;18;9;5;34;34237;2;2;0.0;2.0;43.503679;3.312523;1;2;2
1;1;1;2.0;2021;27.0;1.0;2.0;1.0;4;2.0;1.0;1.0;50.0;1;8;1;30;30189;2;4;0.0;1.0;43.8306;4.3691;7;2;2
2;2;2;2.0;2021;26.0;1.0;2.0;1.0;1;3.0;1.0;1.0;90.0;13;12;1;33;33096;1;1;0.0;3.0;44.892169;-0.500894;8;3;2
10;3;2;0.0;2021;44.0;1.0;1.0;3.0;4;1.0;1.0;5.0;30.0;6;7;1;75;75108;2;3;0.0;6.0;48.869142;2.304514;11;2;1
1;1;1;1.0;2021;53.0;4.0;2.0;1.0;3;2.0;1.0;1.0;80.0;5;3;1;62;62481;1;1;0.0;2.0;50.283499;1.989985;16;2;2
1;1;1;2.0;2021;57.0;1.0;2.0;5.0;4;2.0;1.0;5.0;20.0;4;6;1;69;69383;2;1;0.0;3.0;45.75817;4.84086;16;2;2
10;3;2;8.0;2021;45.0;2.0;1.0;1.0;4;2.0;1.0;1.0;50.0;28;10;1;93;93066;2;1;0.0;6.0;48.9360812567;2.3695904028;13;3;1
1;1;1;8.0;2021;29.0;1.0;2.0;5.0;3;2.0;1.0;1.0;50.0;6;10;1;93;93029;2;1;0.0;3.0;48.928342;2.436177;11;3;2
4;2;2;1.0;2021;9.0;2.0;2.0;1.0;3;2.0;1.0;1.0;50.0;19;5;1;28;28134;2;3;0.0;3.0;48.73498;1.38732;19;4;2
